N°,DNI,APELLIDOS,NOMBRES,CARGO,FECHA DE INICIO,REGIMEN LABORAL,ÓRGANO,UNIDAD ORGANICA,ESTADO,SERVIDORES CIVILES QUE TIENEN LICENCIA,CORREO ELECTRONICO INSTITUCIONAL,APELLIDOS Y NOMBRES
789,98867181,FRANCISCO YÁÑEZ,ROSALINA VIRGINIA,Coordinador Adjunto,2021-05-22,D.L. 728,Dirección General de Estudio,Oficina de Hija,ACTIVO,NO,,FRANCISCO YÁÑEZ ROSALINA VIRGINIA
790,76206306,CONDE BÁRCENA,GALO ALBA,Especialista Técnico,2025-05-12,CAS,Dirección General de Debido,Oficina de Son,ACTIVO,NO,,CONDE BÁRCENA GALO ALBA
791,82000925,VAQUERO CARPIO,CIRO ALMA,Asistente Administrativo,2022-12-09,D.L. 728,Dirección General de Llama,Oficina de Secretario,ACTIVO,NO,,VAQUERO CARPIO CIRO ALMA
792,69159800,ABELLA ROSADO,AZAHARA SOSIMO,Coordinador Adjunto,2020-01-18,CAS,Dirección General de Era,Oficina de Ocho,ACTIVO,NO,,ABELLA ROSADO AZAHARA SOSIMO
793,53798928,ROMEU GRANDE,NIDIA ALMA,Analista G1,2024-03-29,CAS,Dirección General de Niños,Oficina de Ellas,ACTIVO,NO,,ROMEU GRANDE NIDIA ALMA
794,18872607,CABAÑAS ROIG,ELOY JOSÉ MANUEL,Asistente Administrativo,2021-02-11,D.L. 728,Dirección General de Eran,Oficina de Hermano,ACTIVO,NO,,CABAÑAS ROIG ELOY JOSÉ MANUEL
795,33292317,BLANES LUQUE,ELBA SARITA,Analista G1,2021-10-13,D.L. 728,Dirección General de Muerte,Oficina de Historia,ACTIVO,NO,,BLANES LUQUE ELBA SARITA
796,51482484,ADÁN AGUILAR,CRESCENCIA AZENETH,Especialista Técnico,2017-07-10,D.L. 728,Dirección General de Los,Oficina de Buen,ACTIVO,NO,,ADÁN AGUILAR CRESCENCIA AZENETH
797,35835372,FUERTES MOLES,SEBASTIAN PORFIRIO,Coordinador Adjunto,2017-05-30,D.L. 728,Dirección General de Anterior,Oficina de Existencia,ACTIVO,NO,,FUERTES MOLES SEBASTIAN PORFIRIO
798,78176559,IZAGUIRRE JURADO,RITA BLANCA,Analista G1,2020-07-31,D.L. 728,Dirección General de Pesar,Oficina de Formas,ACTIVO,NO,,IZAGUIRRE JURADO RITA BLANCA
799,87735897,LLORENS PUERTA,MARISOL HERMINIO,Coordinador Adjunto,2020-06-23,D.L. 276,Dirección General de Precio,Oficina de Civil,ACTIVO,NO,,LLORENS PUERTA MARISOL HERMINIO
800,31715996,TOLOSA ESCAMILLA,RAIMUNDO CELIA,Analista G1,2021-11-23,D.L. 276,Dirección General de Carlos,Oficina de Hemos,ACTIVO,NO,,TOLOSA ESCAMILLA RAIMUNDO CELIA
801,15867871,OCAÑA PUIG,MAGDALENA EMILIANO,Asistente Administrativo,2024-11-23,D.L. 728,Dirección General de Poner,Oficina de Casa,ACTIVO,NO,,OCAÑA PUIG MAGDALENA EMILIANO
802,21436830,GRAS SALOM,MICAELA JUANA,Asistente Administrativo,2025-11-02,D.L. 276,Dirección General de Antes,Oficina de Hizo,ACTIVO,NO,,GRAS SALOM MICAELA JUANA
803,67447156,VERDUGO PÉREZ,MIREIA NILO,Coordinador Adjunto,2024-05-09,D.L. 276,Dirección General de Pueda,Oficina de Quería,ACTIVO,NO,,VERDUGO PÉREZ MIREIA NILO
804,15759275,AZORIN CUEVAS,ROQUE FANNY,Coordinador Adjunto,2016-05-25,D.L. 728,Dirección General de Sí,Oficina de Exterior,ACTIVO,NO,,AZORIN CUEVAS ROQUE FANNY
805,82493632,CODINA SOTO,ÁNGELES ELI,Especialista Técnico,2020-09-12,CAS,Dirección General de Él,Oficina de Todavía,ACTIVO,NO,,CODINA SOTO ÁNGELES ELI
806,17927299,GIRONA PELÁEZ,CEBRIÁN EMELINA,Asistente Administrativo,2016-09-20,CAS,Dirección General de Dinero,Oficina de Dan,ACTIVO,NO,,GIRONA PELÁEZ CEBRIÁN EMELINA
807,61066204,PÉREZ VÁZQUEZ,LUCIANO LEONOR,Coordinador Adjunto,2025-12-24,D.L. 728,Dirección General de Puede,Oficina de Septiembre,ACTIVO,NO,,PÉREZ VÁZQUEZ LUCIANO LEONOR
808,94212890,DÍEZ URRUTIA,VALENTÍN AGUSTÍN,Asistente Administrativo,2018-05-12,D.L. 276,Dirección General de Plaza,Oficina de Dan,ACTIVO,NO,,DÍEZ URRUTIA VALENTÍN AGUSTÍN
809,89133247,VILLEGAS MACIAS,GUIOMAR ANASTASIO,Especialista Técnico,2024-03-08,CAS,Dirección General de Recursos,Oficina de Varias,ACTIVO,NO,,VILLEGAS MACIAS GUIOMAR ANASTASIO
810,91313947,GUARDIOLA DOMÉNECH,ILEANA ANDRÉS FELIPE,Analista G1,2019-12-11,D.L. 276,Dirección General de América,Oficina de De,ACTIVO,NO,,GUARDIOLA DOMÉNECH ILEANA ANDRÉS FELIPE
811,59961499,CRIADO BOLAÑOS,LEONCIO MELISA,Coordinador Adjunto,2020-05-04,CAS,Dirección General de Radio,Oficina de Producción,ACTIVO,NO,,CRIADO BOLAÑOS LEONCIO MELISA
812,75721445,RAMIREZ    FONSECA,AURA ALBINO   ,Analista G1,2023-09-18,CAS,Dirección General de Mismo,Oficina de Semanas,ACTIVO,NO,,RAMIREZ    FONSECA AURA ALBINO   
813,73504238,BOSCH LUÍS,LUCILA PAULA,Especialista Técnico,2021-12-08,D.L. 276,Dirección General de Rey,Oficina de Persona,ACTIVO,NO,,BOSCH LUÍS LUCILA PAULA
814,72029308,OLIVERA LLORET,JAIME ELOÍSA,Especialista Técnico,2025-12-23,CAS,Dirección General de Uso,Oficina de Jamás,ACTIVO,NO,,OLIVERA LLORET JAIME ELOÍSA
815,44039204,QUINTERO ACUÑA,JUAN CARLOS GABINO,Asistente Administrativo,2020-06-01,CAS,Dirección General de Hacer,Oficina de Pedro,ACTIVO,NO,,QUINTERO ACUÑA JUAN CARLOS GABINO
816,91307682,BELMONTE VAQUERO,MACARIO NOÉ,Especialista Técnico,2025-10-25,D.L. 276,Dirección General de Distintos,Oficina de Próximo,ACTIVO,NO,,BELMONTE VAQUERO MACARIO NOÉ
817,78268757,JIMÉNEZ IBÁÑEZ,JOAQUINA VENCESLÁS,Asistente Administrativo,2026-01-03,CAS,Dirección General de Administración,Oficina de Necesidad,ACTIVO,NO,,JIMÉNEZ IBÁÑEZ JOAQUINA VENCESLÁS
818,68501421,HERVIA NICOLÁS,MAURA ÁLVARO,Asistente Administrativo,2023-02-28,CAS,Dirección General de Has,Oficina de Elecciones,ACTIVO,NO,,HERVIA NICOLÁS MAURA ÁLVARO
819,60858654,AMORÓS TOLEDO,DEMETRIO JUAN,Especialista Técnico,2017-01-07,D.L. 276,Dirección General de Suelo,Oficina de Pasó,ACTIVO,NO,,AMORÓS TOLEDO DEMETRIO JUAN
820,55757343,GIMÉNEZ GRAS,NEREIDA MAXIMIANO,Asistente Administrativo,2020-06-20,D.L. 276,Dirección General de Tengo,Oficina de Varias,ACTIVO,NO,,GIMÉNEZ GRAS NEREIDA MAXIMIANO
821,07749300,AGUSTÍ    LAGO,JOSE RAMÓN LUCIO   ,Asistente Administrativo,2017-04-10,D.L. 276,Dirección General de Compañía,Oficina de Materia,ACTIVO,NO,,AGUSTÍ    LAGO JOSE RAMÓN LUCIO   
822,41361819,NOGUÉS BENITEZ,CASANDRA GASPAR,Analista G1,2021-02-09,D.L. 728,Dirección General de Dios,Oficina de Posible,ACTIVO,NO,,NOGUÉS BENITEZ CASANDRA GASPAR
823,34152670,LEON ESPAÑA,MARGARITA ISABELA,Analista G1,2025-08-25,D.L. 276,Dirección General de Muchos,Oficina de Diez,ACTIVO,NO,,LEON ESPAÑA MARGARITA ISABELA
824,29246219,FLORES GUITART,MAGDALENA JOSE ANTONIO,Analista G1,2025-01-27,CAS,Dirección General de Bajo,Oficina de Tu,ACTIVO,NO,,FLORES GUITART MAGDALENA JOSE ANTONIO
825,56867701,FRANCO IBORRA,PIEDAD ESPERANZA,Coordinador Adjunto,2019-11-27,D.L. 276,Dirección General de Tenían,Oficina de Hacer,ACTIVO,NO,,FRANCO IBORRA PIEDAD ESPERANZA
826,08557711,CARRETERO BERMUDEZ,INMACULADA GRACIA,Analista G1,2021-04-09,CAS,Dirección General de A,Oficina de Nuestras,ACTIVO,NO,,CARRETERO BERMUDEZ INMACULADA GRACIA
827,63360325,  ARNAL TOLEDO  ,  RAMIRO ESTELA,Analista G1,2019-07-02,D.L. 728,Dirección General de Toma,Oficina de Fiscal,ACTIVO,NO,,  ARNAL TOLEDO     RAMIRO ESTELA
828,54877192,LLOBET TUDELA,GERVASIO MARÍA CRISTINA,Especialista Técnico,2025-07-04,CAS,Dirección General de Unidos,Oficina de Quién,ACTIVO,NO,,LLOBET TUDELA GERVASIO MARÍA CRISTINA
829,86104028,GIRONA CASTELLANOS,BALTASAR BEGOÑA,Asistente Administrativo,2024-05-03,D.L. 728,Dirección General de Aire,Oficina de Pablo,ACTIVO,NO,,GIRONA CASTELLANOS BALTASAR BEGOÑA
830,51335546,ANTÚNEZ VALVERDE,OVIDIO RUFINO,Asistente Administrativo,2024-12-13,D.L. 728,Dirección General de Produce,Oficina de Cual,ACTIVO,NO,,ANTÚNEZ VALVERDE OVIDIO RUFINO
831,50418291,SEBASTIÁN CARREÑO,JOVITA AURA,Analista G1,2020-12-11,D.L. 276,Dirección General de Santa,Oficina de Se,ACTIVO,NO,,SEBASTIÁN CARREÑO JOVITA AURA
832,88824291,ALBERO GALVEZ,REYNALDO CUSTODIA,Especialista Técnico,2017-05-09,D.L. 276,Dirección General de Acción,Oficina de Única,ACTIVO,NO,,ALBERO GALVEZ REYNALDO CUSTODIA
833,46676885,JOVER EXPOSITO,CARLOTA JUAN JOSÉ,Analista G1,2018-09-19,CAS,Dirección General de Educación,Oficina de Noviembre,ACTIVO,NO,,JOVER EXPOSITO CARLOTA JUAN JOSÉ
834,72109614,NOVOA PAZ,GERÓNIMO ANDREA,Asistente Administrativo,2020-08-01,D.L. 276,Dirección General de Estudio,Oficina de Formación,ACTIVO,NO,,NOVOA PAZ GERÓNIMO ANDREA
835,17092237,PERALES PATIÑO,RICARDA SALVADOR,Especialista Técnico,2019-02-21,CAS,Dirección General de Cosas,Oficina de Plan,ACTIVO,NO,,PERALES PATIÑO RICARDA SALVADOR
836,03051484,CASTRO GRANADOS,ODALYS CORNELIO,Coordinador Adjunto,2023-07-22,D.L. 728,Dirección General de Suerte,Oficina de Número,ACTIVO,NO,,CASTRO GRANADOS ODALYS CORNELIO
837,90395621,ROSELL PIQUER,GUSTAVO ESTEBAN,Asistente Administrativo,2024-05-06,D.L. 276,Dirección General de Alrededor,Oficina de Casi,ACTIVO,NO,,ROSELL PIQUER GUSTAVO ESTEBAN
838,50905626,SUÁREZ AGUSTÍ   ,  GABRIEL TADEO  ,Especialista Técnico,2021-05-05,CAS,Dirección General de Centros,Oficina de Comercio,ACTIVO,NO,,SUÁREZ AGUSTÍ      GABRIEL TADEO  
839,61824079,VILLANUEVA MOLES,MIREIA AMANDA,Coordinador Adjunto,2019-05-07,CAS,Dirección General de Fuentes,Oficina de Aspecto,ACTIVO,NO,,VILLANUEVA MOLES MIREIA AMANDA
840,36997081,ASENJO PUIG,CONRADO JESSICA,Especialista Técnico,2017-12-23,D.L. 276,Dirección General de Nadie,Oficina de Período,ACTIVO,NO,,ASENJO PUIG CONRADO JESSICA
841,15145752,IZQUIERDO TAMAYO,PRIMITIVA EVA,Analista G1,2017-04-22,D.L. 276,Dirección General de Serán,Oficina de Programa,ACTIVO,NO,,IZQUIERDO TAMAYO PRIMITIVA EVA
842,56269521,JUAN PANIAGUA,PLÁCIDO CHARO,Analista G1,2021-12-02,CAS,Dirección General de S,Oficina de Muerte,ACTIVO,NO,,JUAN PANIAGUA PLÁCIDO CHARO
843,27659808,NÚÑEZ ALLER,SERGIO DOMINGO,Analista G1,2019-11-09,CAS,Dirección General de Diario,Oficina de Rafael,ACTIVO,NO,,NÚÑEZ ALLER SERGIO DOMINGO
844,79717835,FLOR DÍAZ,MERCEDES LUCAS,Analista G1,2019-11-24,D.L. 728,Dirección General de Compañía,Oficina de Recursos,ACTIVO,NO,,FLOR DÍAZ MERCEDES LUCAS
845,80233331,TORRENT SALVADOR,TAMARA CAYETANO,Analista G1,2020-02-27,CAS,Dirección General de Cuanto,Oficina de Hacía,ACTIVO,NO,,TORRENT SALVADOR TAMARA CAYETANO
846,99393742,COCA DIEZ,FELICIDAD NURIA,Analista G1,2025-08-19,D.L. 728,Dirección General de Servicios,Oficina de Reunión,ACTIVO,NO,,COCA DIEZ FELICIDAD NURIA
847,58916592,QUIROGA BELLIDO,CEBRIÁN FELIX,Especialista Técnico,2019-10-13,D.L. 276,Dirección General de Varios,Oficina de Voz,ACTIVO,NO,,QUIROGA BELLIDO CEBRIÁN FELIX
848,29161380,MANUEL LASTRA,ELODIA FILOMENA,Analista G1,2020-04-19,CAS,Dirección General de Armas,Oficina de Existe,ACTIVO,NO,,MANUEL LASTRA ELODIA FILOMENA
849,67631756,PAREJO VIÑAS,VIRGILIO SEVERIANO,Coordinador Adjunto,2018-01-07,CAS,Dirección General de Militares,Oficina de O,ACTIVO,NO,,PAREJO VIÑAS VIRGILIO SEVERIANO
850,98182615,CASARES GUITART,GISELA JOSÉ,Coordinador Adjunto,2025-10-01,D.L. 276,Dirección General de Formación,Oficina de Llega,ACTIVO,NO,,CASARES GUITART GISELA JOSÉ
851,80251152,BERNAL GALVEZ,FLAVIO RÉGULO,Coordinador Adjunto,2017-05-17,CAS,Dirección General de Él,Oficina de Estilo,ACTIVO,NO,,BERNAL GALVEZ FLAVIO RÉGULO
852,40502137,SÁENZ BALAGUER,AMANCIO MARÍA MANUELA,Especialista Técnico,2020-04-25,D.L. 276,Dirección General de Programas,Oficina de Gobierno,ACTIVO,NO,,SÁENZ BALAGUER AMANCIO MARÍA MANUELA
853,69961133,CALLEJA JÁUREGUI,ESMERALDA FABRICIO,Especialista Técnico,2017-03-09,D.L. 728,Dirección General de Dan,Oficina de Primeras,ACTIVO,NO,,CALLEJA JÁUREGUI ESMERALDA FABRICIO
854,40332556,PORTA MENDOZA,JENARO JOSE MIGUEL,Coordinador Adjunto,2023-09-21,CAS,Dirección General de Miembros,Oficina de Dónde,ACTIVO,NO,,PORTA MENDOZA JENARO JOSE MIGUEL
855,74721441,CASES CASTRO,BELEN PILI,Especialista Técnico,2018-01-19,D.L. 276,Dirección General de Cuando,Oficina de Análisis,ACTIVO,NO,,CASES CASTRO BELEN PILI
856,91100300,PALACIOS MORELL,ROSARIO ALBA,Asistente Administrativo,2021-01-06,D.L. 276,Dirección General de Área,Oficina de Palabra,ACTIVO,NO,,PALACIOS MORELL ROSARIO ALBA
857,66521097,LLADÓ SALGADO,ELPIDIO JOSÉ,Analista G1,2021-09-27,D.L. 728,Dirección General de Teatro,Oficina de P,ACTIVO,NO,,LLADÓ SALGADO ELPIDIO JOSÉ
858,86344421,SAURA ROYO,AZUCENA FELICIDAD,Asistente Administrativo,2022-09-28,D.L. 276,Dirección General de Algún,Oficina de Reforma,ACTIVO,NO,,SAURA ROYO AZUCENA FELICIDAD
859,42779815,OLIVERA TIRADO,CALISTA JAVI,Asistente Administrativo,2024-05-23,D.L. 728,Dirección General de Grupos,Oficina de Mal,ACTIVO,NO,,OLIVERA TIRADO CALISTA JAVI
860,20027649,  PAZ REVILLA,  JUAN BAUTISTA FABRICIO,Coordinador Adjunto,2019-05-19,D.L. 728,Dirección General de De,Oficina de Menor,ACTIVO,NO,,  PAZ REVILLA   JUAN BAUTISTA FABRICIO
861,24679819,CEREZO NÚÑEZ,LUCIANO ADORA,Asistente Administrativo,2021-09-11,CAS,Dirección General de Ejército,Oficina de Deseo,ACTIVO,NO,,CEREZO NÚÑEZ LUCIANO ADORA
862,30245234,TÉLLEZ TEJADA,MARCELINO AGAPITO,Coordinador Adjunto,2024-01-02,D.L. 276,Dirección General de Vía,Oficina de Cierto,ACTIVO,NO,,TÉLLEZ TEJADA MARCELINO AGAPITO
863,19374564,GUARDIA AGUILAR,CARLOTA RAÚL,Asistente Administrativo,2018-03-25,CAS,Dirección General de López,Oficina de Libre,ACTIVO,NO,,GUARDIA AGUILAR CARLOTA RAÚL
864,75482165,RUIZ PRAT,JOSEP FERNANDO,Asistente Administrativo,2023-06-30,D.L. 728,Dirección General de Pocos,Oficina de Ciento,ACTIVO,NO,,RUIZ PRAT JOSEP FERNANDO
865,74797763,PINEDA GIMÉNEZ,JUAN JOSÉ CEBRIÁN,Especialista Técnico,2020-07-26,D.L. 728,Dirección General de Padre,Oficina de Popular,ACTIVO,NO,,PINEDA GIMÉNEZ JUAN JOSÉ CEBRIÁN
866,32595919,LLABRÉS LÓPEZ,FLORENCIA MANUELITA,Coordinador Adjunto,2021-08-31,CAS,Dirección General de Muchas,Oficina de Relaciones,ACTIVO,NO,,LLABRÉS LÓPEZ FLORENCIA MANUELITA
867,44327149,FABRA    BAYONA,  GERMÁN ELÍAS  ,Analista G1,2019-03-29,D.L. 728,Dirección General de Resulta,Oficina de Niño,ACTIVO,NO,,FABRA    BAYONA   GERMÁN ELÍAS  
868,49805179,SANTAMARÍA LLADÓ,JUANITA ESTHER,Analista G1,2021-04-07,D.L. 276,Dirección General de Quienes,Oficina de Al,ACTIVO,NO,,SANTAMARÍA LLADÓ JUANITA ESTHER
869,97252114,CORNEJO AYALA,BIENVENIDA ALFREDO,Especialista Técnico,2018-03-16,CAS,Dirección General de Contra,Oficina de Sería,ACTIVO,NO,,CORNEJO AYALA BIENVENIDA ALFREDO
870,36032305,LEON CASARES,LIGIA URBANO,Asistente Administrativo,2023-08-14,D.L. 276,Dirección General de Eran,Oficina de Tres,ACTIVO,NO,,LEON CASARES LIGIA URBANO
871,81197625,CONTRERAS ALCOLEA,ANA ISAAC,Analista G1,2019-10-07,CAS,Dirección General de Respecto,Oficina de Puerto,ACTIVO,NO,,CONTRERAS ALCOLEA ANA ISAAC
872,25254850,VALENTÍN PERA,ABIGAÍL JOSEFINA,Especialista Técnico,2024-04-05,D.L. 728,Dirección General de Español,Oficina de Eso,ACTIVO,NO,,VALENTÍN PERA ABIGAÍL JOSEFINA
873,28036619,COLL BARBA,JUAN PABLO MAURA,Coordinador Adjunto,2020-04-08,D.L. 728,Dirección General de Vamos,Oficina de Resultados,ACTIVO,NO,,COLL BARBA JUAN PABLO MAURA
874,02058056,ESCUDERO FERNANDEZ,TERESITA PRUDENCIA,Especialista Técnico,2018-11-05,CAS,Dirección General de Niños,Oficina de París,ACTIVO,NO,,ESCUDERO FERNANDEZ TERESITA PRUDENCIA
875,99519118,ALBEROLA CARRO,MARÍA JESÚS LIDIA,Analista G1,2018-11-01,D.L. 276,Dirección General de Mantener,Oficina de Premio,ACTIVO,NO,,ALBEROLA CARRO MARÍA JESÚS LIDIA
876,64279672,SALAZAR HUERTAS,MALENA ANASTASIO,Especialista Técnico,2018-05-03,D.L. 276,Dirección General de Negro,Oficina de Mantener,ACTIVO,NO,,SALAZAR HUERTAS MALENA ANASTASIO
877,81121401,BURGOS VÁZQUEZ,GRACIELA HORACIO,Especialista Técnico,2021-01-27,D.L. 728,Dirección General de Derecha,Oficina de Hospital,ACTIVO,NO,,BURGOS VÁZQUEZ GRACIELA HORACIO
878,32122458,MIGUEL MORALEDA,FEDERICO EVA,Coordinador Adjunto,2023-08-18,D.L. 728,Dirección General de Serán,Oficina de Estilo,ACTIVO,NO,,MIGUEL MORALEDA FEDERICO EVA
879,51091555,VIÑAS CARVAJAL,JOSÉ LUIS ALICIA,Asistente Administrativo,2022-09-24,D.L. 276,Dirección General de Cualquier,Oficina de Único,ACTIVO,NO,,VIÑAS CARVAJAL JOSÉ LUIS ALICIA
880,87069905,AZORIN    GIBERT,  DANIEL JONATAN  ,Coordinador Adjunto,2022-09-04,D.L. 728,Dirección General de Luz,Oficina de Una,ACTIVO,NO,,AZORIN    GIBERT   DANIEL JONATAN  
881,35106208,DIEGO LLORENTE,DANIELA DIMAS,Coordinador Adjunto,2020-04-20,D.L. 276,Dirección General de Relación,Oficina de Del,ACTIVO,NO,,DIEGO LLORENTE DANIELA DIMAS
882,66743429,ARNAL TALAVERA,JAVIERA DÉBORA,Asistente Administrativo,2017-11-23,CAS,Dirección General de Mantener,Oficina de Ella,ACTIVO,NO,,ARNAL TALAVERA JAVIERA DÉBORA
883,96960709,IBARRA CRIADO,ANGELINA CIRIACO,Asistente Administrativo,2023-03-16,D.L. 728,Dirección General de Esas,Oficina de Dan,ACTIVO,NO,,IBARRA CRIADO ANGELINA CIRIACO
884,27263311,  BARREDA BARREDA  ,  PELAYO FILOMENA,Coordinador Adjunto,2017-11-19,D.L. 728,Dirección General de Resto,Oficina de Local,ACTIVO,NO,,  BARREDA BARREDA     PELAYO FILOMENA
885,55556768,CAMPO CASAS,AMARILIS JOAN,Analista G1,2019-07-07,D.L. 276,Dirección General de Miguel,Oficina de Pasó,ACTIVO,NO,,CAMPO CASAS AMARILIS JOAN
886,29698907,OLIVERA RÓDENAS,LUZ GUADALUPE,Especialista Técnico,2016-07-23,CAS,Dirección General de Saber,Oficina de México,ACTIVO,NO,,OLIVERA RÓDENAS LUZ GUADALUPE
887,35000509,CAÑIZARES IGLESIA,TRINI ANÍBAL,Asistente Administrativo,2021-03-13,D.L. 728,Dirección General de Consejo,Oficina de Pedro,ACTIVO,NO,,CAÑIZARES IGLESIA TRINI ANÍBAL
888,20456314,MARIÑO TRILLO,GOYO CLAUDIA,Especialista Técnico,2018-03-18,D.L. 728,Dirección General de Persona,Oficina de Mayoría,ACTIVO,NO,,MARIÑO TRILLO GOYO CLAUDIA
889,30872578,SOLÍS LLOPIS,RUFINA PAZ,Asistente Administrativo,2022-05-01,D.L. 276,Dirección General de Contenido,Oficina de Jóvenes,ACTIVO,NO,,SOLÍS LLOPIS RUFINA PAZ
890,32981325,CUETO BAYÓN,BERNARDA FABIÁN,Asistente Administrativo,2020-11-02,D.L. 276,Dirección General de Prueba,Oficina de Todavía,ACTIVO,NO,,CUETO BAYÓN BERNARDA FABIÁN
891,87859994,PEDRAZA SANTIAGO,AARÓN MAURA,Coordinador Adjunto,2022-09-22,D.L. 728,Dirección General de Razón,Oficina de Llevar,ACTIVO,NO,,PEDRAZA SANTIAGO AARÓN MAURA
892,65581614,ESTEVE ALFONSO,ESTEFANÍA ROCÍO,Asistente Administrativo,2019-12-26,D.L. 728,Dirección General de Ayuda,Oficina de Centro,ACTIVO,NO,,ESTEVE ALFONSO ESTEFANÍA ROCÍO
893,22579938,MONTES BARROSO,GENOVEVA BÁRBARA,Coordinador Adjunto,2024-07-14,CAS,Dirección General de Muchos,Oficina de Quiero,ACTIVO,NO,,MONTES BARROSO GENOVEVA BÁRBARA
894,18784916,VALENCIA CORREA,EMPERATRIZ LORENZO,Asistente Administrativo,2019-07-28,CAS,Dirección General de Lucha,Oficina de Proyecto,ACTIVO,NO,,VALENCIA CORREA EMPERATRIZ LORENZO
895,72764377,CANO BÁRCENA,AZENETH GENOVEVA,Analista G1,2017-01-04,D.L. 276,Dirección General de Asunto,Oficina de Rosa,ACTIVO,NO,,CANO BÁRCENA AZENETH GENOVEVA
896,04539748,CASTILLA ESCALONA,SAMANTA AMÍLCAR,Analista G1,2018-05-14,D.L. 276,Dirección General de Organización,Oficina de Tipo,ACTIVO,NO,,CASTILLA ESCALONA SAMANTA AMÍLCAR
897,06511492,CABEZA ANTÓN,CONCEPCIÓN FELISA,Analista G1,2024-09-16,D.L. 728,Dirección General de Pie,Oficina de Carácter,ACTIVO,NO,,CABEZA ANTÓN CONCEPCIÓN FELISA
898,18453801,ZARAGOZA JAÉN,AUGUSTO QUIQUE,Especialista Técnico,2018-07-21,CAS,Dirección General de Estructura,Oficina de Ahora,ACTIVO,NO,,ZARAGOZA JAÉN AUGUSTO QUIQUE
899,94914693,ALBERTO GALLARDO,GABRIELA AMPARO,Especialista Técnico,2025-08-18,CAS,Dirección General de Adelante,Oficina de Esa,ACTIVO,NO,,ALBERTO GALLARDO GABRIELA AMPARO
900,29356058,  SOLÉ BARRERA  ,  PONCIO CELESTINA,Asistente Administrativo,2023-10-12,D.L. 728,Dirección General de Esfuerzo,Oficina de Ir,ACTIVO,NO,,  SOLÉ BARRERA     PONCIO CELESTINA
901,08113478,PEINADO BARRAGÁN,PALMIRA ENCARNITA,Asistente Administrativo,2019-01-02,D.L. 276,Dirección General de También,Oficina de Llevar,ACTIVO,NO,,PEINADO BARRAGÁN PALMIRA ENCARNITA
902,65478708,  BEJARANO MATEU,CASEMIRO INOCENCIO   ,Analista G1,2025-12-14,CAS,Dirección General de Menos,Oficina de Estado,ACTIVO,NO,,  BEJARANO MATEU CASEMIRO INOCENCIO   
903,71432351,GUARDIA    POL,GOYO GUADALUPE   ,Asistente Administrativo,2021-08-10,CAS,Dirección General de Madre,Oficina de Experiencia,ACTIVO,NO,,GUARDIA    POL GOYO GUADALUPE   
904,02244946,ESCAMILLA RIBES,MARGARITA CURRO,Coordinador Adjunto,2024-01-04,D.L. 276,Dirección General de Principal,Oficina de México,ACTIVO,NO,,ESCAMILLA RIBES MARGARITA CURRO
905,38478685,SEGARRA ROLDÁN,SOL CRISTÓBAL,Analista G1,2018-01-05,D.L. 276,Dirección General de Cosas,Oficina de Manuel,ACTIVO,NO,,SEGARRA ROLDÁN SOL CRISTÓBAL
906,93665060,QUEROL VARGAS,NICOLÁS GEMA,Asistente Administrativo,2017-12-04,CAS,Dirección General de Debido,Oficina de Miembros,ACTIVO,NO,,QUEROL VARGAS NICOLÁS GEMA
907,14363502,ORTUÑO MIRÓ,CARMELITA MORENO,Analista G1,2024-10-17,D.L. 276,Dirección General de Relaciones,Oficina de Nuestras,ACTIVO,NO,,ORTUÑO MIRÓ CARMELITA MORENO
908,19984683,ROS MORALES,EMELINA JOSE ANGEL,Especialista Técnico,2021-12-23,CAS,Dirección General de Hizo,Oficina de Buen,ACTIVO,NO,,ROS MORALES EMELINA JOSE ANGEL
909,83185577,IZQUIERDO PALOMINO,VÍCTOR VICTORINO,Coordinador Adjunto,2025-12-11,D.L. 728,Dirección General de De,Oficina de Mayores,ACTIVO,NO,,IZQUIERDO PALOMINO VÍCTOR VICTORINO
910,35879719,ARAMBURU LUÍS,DÉBORA ALCIDES,Asistente Administrativo,2021-07-09,CAS,Dirección General de Esfuerzo,Oficina de Propio,ACTIVO,NO,,ARAMBURU LUÍS DÉBORA ALCIDES
911,50070136,AGUDO MAS,IVÁN IKER,Asistente Administrativo,2024-11-25,D.L. 728,Dirección General de Más,Oficina de Enero,ACTIVO,NO,,AGUDO MAS IVÁN IKER
912,75833310,LLORENTE VIDAL,CAYETANA CONCEPCIÓN,Especialista Técnico,2025-08-09,D.L. 276,Dirección General de Primer,Oficina de Gran,ACTIVO,NO,,LLORENTE VIDAL CAYETANA CONCEPCIÓN
913,30314048,ARELLANO SEGUÍ,PELAYO FABRICIO,Coordinador Adjunto,2017-09-23,D.L. 276,Dirección General de Zona,Oficina de Ii,ACTIVO,NO,,ARELLANO SEGUÍ PELAYO FABRICIO
914,10820220,IBORRA GUIJARRO,JOSÉ MARÍA OBDULIA,Analista G1,2019-05-08,CAS,Dirección General de Demasiado,Oficina de Dirección,ACTIVO,NO,,IBORRA GUIJARRO JOSÉ MARÍA OBDULIA
915,54395533,GELABERT BERENGUER,LORETO MORENO,Asistente Administrativo,2024-04-10,D.L. 728,Dirección General de Nueva,Oficina de Calidad,ACTIVO,NO,,GELABERT BERENGUER LORETO MORENO
